NEE,LE,LE_unc,H,H_unc,Tau,Tau_unc,CO2_strg,LE_strg,H_strg,Pa,Ta,RH,VPD,Rnet,Rg,G1,G2,G3,G4,Tsoil1,Tsoil2,VWC_1,VWC2,Precipitation,Windspeed,Winddir,FootprintFraction,Ustar,TKE,Tstar,L,zL,TER,GEP
9.8281,7.7338,0.65839,-31.244,1.8602,0.066434,0.0041623,0.084017,-0.18504,-0.45164,101.06,14.29,80.22,3.21,-52.854,0.0,-8.871,-16.652,-14.707,-11.459,20.371,20.296,0.55054,0.36962,0.0,1.5097,159.44,96,0.23,0.31294,-0.10845,35.81,0.038702,8.89233,-0.93767
2.3084,-4.9233,0.36342,-8.9929,0.80597,0.0060291,0.00050148,0.022743,-0.201,-0.6099,103.154,6.54,80.32,1.9,-54.638,0.0,-25.87,-8.787,-3.6272,-8.8699,7.5614,9.1356,0.06074,0.30311,0.0,1.1553,286.68,91,0.07,0.040362,-0.10137,3.1994,0.48447,2.29178,-0.018225
3.4489,40.309,1.8414,-4.197,0.51642,0.12692,0.0067068,0.045758,0.22175,-0.44883,102.138,12.31,66.81,4.74,11.86,43.29,0.2788,5.775,6.7542,3.9503,15.228,14.386,0.14534,0.26095,0.0,3.9712,297.33,96,0.32,0.6797,-0.010461,689.13,0.0022298,4.0134,0.5634
6.4694,-5.8591,0.64339,-25.578,2.9077,0.076062,0.0074989,0.096155,-0.241,-0.76338,101.28,12.48,75.78,3.5,-67.517,0.0,11.001,5.0677,9.0439,8.5129,17.591,17.28,0.46218,0.32278,0.0,1.9667,250.88,96,0.25,0.44669,-0.082682,52.908,0.029107,6.44779,-0.022214
11.515,4.8548,1.7593,-19.853,1.2213,0.10362,0.0051689,0.06693,-0.093935,-0.15173,100.917,18.23,90.69,1.94,-46.18,0.0,-9.1403,-3.5972,-4.8597,-6.1179,21.626,21.535,0.13889,0.16956,0.0,1.2553,156.87,96,0.29,0.35485,-0.055469,112.67,0.01346,11.0054,-0.5046
2.05,1.7572,0.15103,-6.0083,0.38034,0.0060423,0.00047305,0.13446,0.25245,0.50427,102.58,2.79,86.85,0.98,-2.4625,0.0,-4.8389,-8.3709,-9.9229,-7.108,4.7652,4.4124,0.48514,0.35701,0.0,0.84806,157.04,95,0.07,0.034606,-0.06742,4.7242,0.31269,3.19225,1.1423
6.8885,9.4121,1.8453,-52.51,4.0684,0.18564,0.01095,0.088734,-0.12682,-0.46299,101.398,14.67,82.33,2.94,-56.569,0.0,3.9788,2.9714,4.3924,3.631,14.489,14.421,0.54337,0.38797,0.0,2.3867,200.08,97,0.39,0.81361,-0.10889,99.515,0.014507,6.06002,-0.82998
1.2546,4.728,0.93808,-25.513,1.6045,0.060785,0.0052502,-0.026404,-0.013597,-0.094417,99.217,6.83,80.47,1.93,-35.002,0.0,-15.408,-6.1395,-3.571,-5.1735,6.101,6.3644,0.18081,0.42082,0.0,2.6662,203.74,94,0.22,0.5311,-0.092386,37.294,0.041561,1.69695,0.44695
7.4466,32.802,2.4554,-53.069,3.8049,0.056012,0.0045612,0.22811,0.53516,-1.9358,101.191,18.64,58.17,8.96,-58.752,0.0,10.604,7.4396,10.105,9.0051,21.582,21.168,0.36086,0.33209,0.0,1.1722,221.44,96,0.22,0.27856,-0.20201,16.671,0.085393,9.53813,2.0881
2.4885,66.539,2.032,-70.482,2.6698,0.40042,0.020769,-0.11523,-0.21381,0.54171,101.14,8.65,73.0,3.02,-7.976,0.0,0.17088,-0.038122,-0.68266,0.66719,5.4102,5.599,0.20486,0.35758,0.0,6.6567,228.41,94,0.57,2.8391,-0.098807,227.05,0.0068267,1.64659,-0.84341
